sale_id,hk_sale_id,as_of_day
Standard Class_329.988_2,a902b7d9a439a3e415366f8a853d5fd0a901e72a5fdd166df39fac408d02301c,2025-10-16
First Class_219.84_4,06f34112ec7cefe0c9b7baa9960914858620e013c365faeee8cbd52bf9d68dd8,2025-10-16
Same Day_199.99_1,464f0deacf2b6beb8f2af6b4575f04583c9fd5e5bd4dd8ad9a7b994f0e87ca6a,2025-10-16
Same Day_122.12_5,029baf8f9dde8d72271a158816df549a2540c22cc6f8c069df469a0ad31e191d,2025-10-16
Standard Class_102.368_2,d3ce5cbc4fa33969289bf6c40b729ddd0de0cda1ef4ddae9458913432144fbc4,2025-10-16
Second Class_27.792_3,d9a7f0a065546287c734d10b67eff73293b29826f6e9a2ffd87af12cc7a7fd30,2025-10-16
Second Class_30.976_8,2ad5765956a443d2fef9923db23fa38e4da97914c7e97daa44233b4246b97ab2,2025-10-16
Standard Class_30.8_4,173d392720359195028e64ff613e1a2b8d48ab3f4e7d357774bf24373ce3990a,2025-10-16
Standard Class_85.246_2,1f686041c72893a27cea0c5bdbb9443bf53cf1c777662a9330335d58dbf0dadb,2025-10-16
Standard Class_5399.91_9,5309dda18eb87bb8ded0869abb610867203e2dad93519cac052e0ed0778b0496,2025-10-16
Standard Class_728.82_9,4826c3d832c4885e74e4fb42e06bb34a900041746669ce0dfafe4ed0d9230ff2,2025-10-16
Standard Class_223.888_7,e0730da2fb9af217d1c5123e3923da5ec0aef914e7d2b0592d632faa790f7e55,2025-10-16
Second Class_137.94_3,7d7424e5252baca7c518c366a8259c5bc22076ef7e10b99440241fe7ceec857f,2025-10-16
Second Class_18.62_2,4b753dcdfaff56a9e4c0f96c4e34e218b59911447e5e69496fd7a5f60dc7ef44,2025-10-16
Standard Class_65.52_5,9ed260395cdcecd62bbc99237355b8ee2c98e6fa93b7467bdb991825ae6d787f,2025-10-16
Standard Class_301.47_3,0904be595a67361e1bf1d27fcd451d98f8f78430772d8e2a94f2e140537f1b2b,2025-10-16
Standard Class_11.376_3,ea142c2686202afaae0e1ea0542849abd02888228be1e382c2246d72f828b3fa,2025-10-16
Second Class_30.816_9,28c4e3e8a32107f42186f30417f039d1de7e1827a21878dcc269be301a840327,2025-10-16
Standard Class_1706.184_9,61de9fcd050ea112c73aaf91306d6c5a553f750a743ec624557c0ce8d2468b29,2025-10-16
First Class_68.04_7,39486ca442d72a849c7b722791c5bdc77b8e2291efd17ffe9ae80096f63ec1a9,2025-10-16
First Class_21.456_9,f0735d22dc3e9416f8bcfdc0b08344a1b22680549e4fe4d2133912a43ce7a371,2025-10-16
Standard Class_1335.68_4,8a0b8366914f2580f106d57a29f84b258dc5c3e3acd87cb70ad5e5903a595d6c,2025-10-16
Standard Class_13.96_4,c1a86d1f684858b7a5f6d256fa911ee3e584baf8b991c375719b2f8f2e837153,2025-10-16
Standard Class_192.16_5,96a67d83fa4ba04b14f668595d51592f55c88b641498cc03a61553c1716dfe48,2025-10-16
First Class_95.984_2,d2a3028f9e0edb1e39297a6c690a692d268beb1701dca7fd52f53aab2e7d6b9f,2025-10-16
Second Class_223.92_4,cc51a80ef8d538808018136f010b9da8bb776809d41002a81af21b66870c2bd9,2025-10-16
First Class_32.97_3,4334997a5e85f5fbafa943e8cfe4acd53d9c36ec3a4fe02824dfc1c6132cd901,2025-10-16
Standard Class_122.94_3,41a670859f6520920e868f80bda380e25c79f0fcb13e52b54ea0d5c3aacd4963,2025-10-16
Standard Class_4.18_1,6dfb6c83f85ab77a3e3293073c73af583807c69a47627e9477e40b00421d2eff,2025-10-16
First Class_34.65_3,25733099dafa7faacdcb73d4205f35904b10734eab25811bc03670a60b3b78f0,2025-10-16
Second Class_7.52_5,22417da5385d815303276bdd568fae59d2f56863901221574037ae13919ff12c,2025-10-16
Standard Class_7.904_2,5424ac362f729184909415b65d106364635a752f9e4f3966d3b814838cfd4ab1,2025-10-16
Standard Class_1879.96_5,056c0264a29bb15e1e5487f319d79bdf2c00110f31490a0aa3c7e7c9cb5f0b43,2025-10-16
Standard Class_5.98_1,5392bf513e0d74baf8e594f310e6362c1df0596cca926d62951392dd1f92e068,2025-10-16
Standard Class_1091.168_4,5f6b979210c9a62465dc360640ae7460b9803b2e45c899292fba3c5092d9fbb7,2025-10-16
Standard Class_62.376_3,932019494fa90d95b860c98eb01b940848afe3e159fc609046b3287e6da73067,2025-10-16
First Class_54.816_3,a3e8dbf38a4b5a06c541538439eee533e9cc34b35fbbcbdf1fa1354f1ec303b1,2025-10-16
Standard Class_62.28_4,a873e38301671d6e639cd5462e8a0fd7da9d712c03e5321d434b357e59db45c5,2025-10-16
Same Day_520.464_2,368fabec282b89dadb3f34bdd8cd71038027613b6bb08ffad3af6514ad52dd1e,2025-10-16
Standard Class_253.176_3,a4ae8423148e9a0d27706e0e8bea09dceef4c43abd1c6680591a6e337548e510,2025-10-16
Standard Class_30.4_5,87d6128541e1fd58cfb8c219a5830b89f4d27aae3cc5c1286722d35864bd17bb,2025-10-16
Standard Class_440.19_9,cf66b06ee2b30f9fc97fa809755c4d821c43e3895eee6db9336b57dae66cd42c,2025-10-16
Standard Class_241.92_4,93fb5ed2cfe354ebf5e9dc766e0e995db6b1f405a2126f7f07aaf6bc2d4e09eb,2025-10-16
Same Day_35.28_3,5ef224903d69ceec80aae2388a962a152b7e8173fa290ab13f37204c96406dec,2025-10-16
First Class_10.11_3,327d293ae26cd20240ce076b49d12e75f0130f7ba9ce525069160fd62fabb517,2025-10-16
First Class_2314.116_7,250d6d156b0732a8d6ee4d8f6ee1cc92174a8afc396f65f19361e49ee6cdb06d,2025-10-16
Second Class_167.976_3,cff8ce6253a4caf09594c9435c28e3cca23453a10ca517bda4b02f92b17cb0a5,2025-10-16
Standard Class_269.49_3,41e8ba3654b3cacef888eaaff8df7d6eaae34fa27ab0ca042189d43687fd88cc,2025-10-16
Second Class_79.92_5,9acb2297642998117929e5b195cf2a43a3f7e090fd80c5fdf39c5ac3145a58b9,2025-10-16
Second Class_28.0_4,1558e1f76174259975175e5eda998960b7d6d5f4e21a9030a3bd6d74879420ab,2025-10-16
First Class_4.928_2,ba59763a3669d15e3d43d8ffb0b771b91547d19f9eb191d1120b7608eff1e0f3,2025-10-16
Second Class_327.564_4,4d571c03faf872e7ae7a5c6b86782e2b7a12bbc81047838c302245664feb40ec,2025-10-16
Standard Class_469.95_5,ff8f7af68b51dd48981e67619c922a12329d2b28fdafa0051917dcd93af8ea44,2025-10-16
Second Class_40.0_2,9ae93fba1b8a7f83ef11fbcb8fef5e7e2662609f3f5488755ffeba2077419af7,2025-10-16
Standard Class_146.86_7,115285a10a4330f55303cd6cc4b7352c37b15454f0e4bde4019aea22e0417d3f,2025-10-16
Standard Class_19.136_2,a6f899544362aa96fb390ecd2d8d885cebe6945fd841f0307d34f99e9e8dc53c,2025-10-16
Second Class_435.999_3,c64c980943e69cfcf730f3783ef3928fb6168ae12ade120aa51a283270b98969,2025-10-16
First Class_3.273_1,d455067566adcd846a4e5fc03f8b1c0007e98ad2d0386be8f0c2333c5eb160af,2025-10-16
Second Class_17.856_4,9342ac88828637ede265b32cdd813c751c4219811259476584cbdd301c062d94,2025-10-16
First Class_3.96_2,ba8a80a800e7e6b266cfe6fded38482284c2820a27fbef7cd077a11963c993b9,2025-10-16
First Class_34.44_3,8c66cadeebd6379c350a472f6f0986069943801bc95fe72c6ee2b33722f7d7a2,2025-10-16
Standard Class_17.97_3,1c7d8866322a30facf8bdbae13482d47e09d11fe011bb0e23b96ee84030384be,2025-10-16
Standard Class_37.05_3,158e04c5cdec7af4b5318bfdfcb90f447b0ddf9a39fd1cf7c1258872faa72040,2025-10-16
Same Day_348.84_9,4d28880a4e94f57875a9032923d0986f16a88567869131729701d027b8ffa389,2025-10-16
Standard Class_33.488_7,daf81b2c84c9345b1fa1d3ba250cf58fc13a28f74102311184c197af13843747,2025-10-16
Standard Class_21.56_7,57c43d4aa18c6647b5fea2f6a39b9522028058ff8decd0c2c73859848c1ec392,2025-10-16
Standard Class_26.55_3,ddf783c0e9e92c0e3f02051199cf34ee075f119ece9c0db1e9e38eb0fea74d7d,2025-10-16
Same Day_146.82_3,d0a77e56020e09bc4cc151bd1b8b179abbb04cd894ad33cce0adf8577d77fb30,2025-10-16
Standard Class_4.95_1,6f8782496954a89eb4f1192bb267326b993d074977fb9c7b2ccffdf8320e8272,2025-10-16
Standard Class_205.92_4,7fc0ef3d6d6a7fc5f159d18629f3320c3215560cf00c603b8a837148f3b4e8a2,2025-10-16
Second Class_104.85_3,173caa867c3c1a1e1c3b06d9200594e544b589b94cb191e94f52a8482ab366b7,2025-10-16
Second Class_40.46_7,9ea51f70f89b390644e59f2ad7904724019a97120edf6cff2d40a394195e7c9f,2025-10-16
Standard Class_38.24_4,db3e799cdafd83e543f6267d68ed74ae552b7174efe60273fd5c9777afbd7ebd,2025-10-16
First Class_105.98_7,cf3c88ce75796416e9dd0c1f981187d5822bb5ff6116fabcda3d671e3467f88a,2025-10-16
Standard Class_1.78_1,5c9d2b04d9c28d600167694ed5651c7db5c34df3355b719d36f065c5558b2c85,2025-10-16
Standard Class_7.58_1,6ebb0a82e061b7f1ae34d90587f5a855134a1956c325961542fee456d1ebace6,2025-10-16
Same Day_44.856_6,741454c357a48fdbf64715fb0a12df1de9d4ca80fa9f3425f414dbe8c34018eb,2025-10-16
Standard Class_51.588_1,dd93a6d0dcac0259f8a3da5926bcd15d4d259167d4c911a03925b4ee1eda3ed3,2025-10-16
Standard Class_329.584_2,937b8cab329ac3e0ed9364d71d1ce65def810c1c5a11eb28fc7a339de46b426c,2025-10-16
Second Class_10.56_2,983491693185c98b6c8453329c5b24a0d3cf1c27589791b4772ae2a262275287,2025-10-16
Second Class_521.96_4,c836d8f7b7c718dd9e9883c49b8131c1640a4b48d7ae895e49f1fd9e51ca9b00,2025-10-16
Standard Class_15.66_6,a1e435c6b0bec4a498bf2f0498d9509d3846e8c779b0ba6ebe04d8ea2f5f965e,2025-10-16
Standard Class_7.968_3,2d685ce1881b09603b71f286e0d4734729469fd7c11b64f578f615c42765cf58,2025-10-16
Same Day_185.528_7,40b37328fd8726bc41cc396c8fd4a095b8320dce97a3fcc8b7f30cd536338cf0,2025-10-16
Standard Class_20.24_1,7e75dc81690024b84e81c33995e19e98d2818a611693291a5163e2d7a505090e,2025-10-16
First Class_1196.86_7,a4b0b07c687d64c02d82222013008abeeea55e052f1a64c52ee7eab3aa82900f,2025-10-16
Second Class_214.9_5,385e913be7c54efa7e69fb268b802711db4811cf92a2d24b28f63821900b9519,2025-10-16
Standard Class_4.28_1,bc4e5e7ed0ecd1c5b4a78aae1310d4aba6f96b1bc183adc34f174049feef2a35,2025-10-16
Standard Class_1.696_2,5cfd3f9fb70ac74d03da7ffedf02144636a5af9cabb8fff2fd160d8aeacdebf0,2025-10-16
Second Class_65.94_3,3b42db52825a85ee3a80f2504b54c9e0b720819030b1ae73527aaafa58786aa2,2025-10-16
Second Class_60.89_1,d7b100d231c65f7c2a2f9a842ea41db8c8edde426c568d2fbbf38a3eed952e40,2025-10-16
First Class_224.937_3,c7692597fe8b65e590ffc3f566140cd714dd29c3f57d036ad93c51db350a26cc,2025-10-16
Standard Class_730.2_4,af63c55a9320e5837f787991ee70b61072b4d772ee3904c4ce96e47becb39bad,2025-10-16
Standard Class_58.416_2,ec3f0f180d073a7d1fae04b6045e5adb91eb82c4815a46c47336913543e4332e,2025-10-16
Second Class_37.312_4,d6a28d3df1946bdec8c53acd97e47c821389e00502e4bdf3c0f904dea693abe5,2025-10-16
Standard Class_44.736_8,3f986a0e1a93d8488cc738e4294b9587b653e563d1822f02257c7beea5e4b787,2025-10-16
Standard Class_6.63_3,2f310ee20b7272b1537067eb1fd7aa3d2df4f061e7c2726c686f387ae2b44f5d,2025-10-16
Standard Class_20.16_4,c524c2aca3acc0f1359b2c6218b6385bb24080d3912c316bdc980db61213cc27,2025-10-16
Standard Class_31.56_5,72946fa8b1f26dde3b00a658825bf5d4f8afd9c0d84f19b01a620749cc312644,2025-10-16
Same Day_6.48_1,6f9881426e7625f6d94914c61d7eeef00e6a0019d45381c70a221daf7eb30df4,2025-10-16
Second Class_17.92_5,92cbc3e26ba141b8636a4b8880833d3122e0a3f0be786d0ff60b71d08bdd1c08,2025-10-16
First Class_310.88_2,a63e7554d54a3e0bae23af440bef0d5f8a7c7561ea25ac54cbf774127d8f9a19,2025-10-16
Standard Class_44.128_4,5f07f312b8f2b70233c62a902168e3a013500974e17d97179221586800e0e8e9,2025-10-16
Standard Class_2.952_2,cedacacfe3aefe33c67c1c3361092122be3146a21e68a4dc3993884d0a23a36b,2025-10-16
Standard Class_153.552_3,52429cefc7fb001f25a629295e62e99072294649485182ec7f8701a769c2f170,2025-10-16
Second Class_46.384_1,51c5cd9d9efeaf9ff80111826e62d8702e403a4f45eff5ddb797774c406ed37d,2025-10-16
Standard Class_29.12_5,faf2ad4c4dc253256531e4bdbb7716d3077195665bb47ee203b714b7312327a1,2025-10-16
Standard Class_42.048_9,611a43f4bc3a5e43fa28d5896d152cbd87ddb93ee09ab525a6678056fdf5e2dd,2025-10-16
Standard Class_489.92_8,1574858b783b058cbd9d8ebf48d8852211b68d362261a807202649e181acbb8e,2025-10-16
Standard Class_16.464_7,4df8375049b39ced4313d70c552c48a231a152dccdcec32aedf359f36fb9cb90,2025-10-16
Standard Class_243.88_5,87433976d6236782aa4620544ecc8ff634a0cbee5bfe779e2f8cf2dbc881c313,2025-10-16
Second Class_24.368_2,151e38b71989ec751a5808687635bdcfc0b74273f0a496555d260c324e449bc8,2025-10-16
Standard Class_31.05_3,606c7629eb5faae0a4fb00af534be610006ef8fe58a33f506032eeb3c2b775b0,2025-10-16
Standard Class_103.92_10,e59f1c4c8471dc4b4db0f73f1164886c55781cea2d635a26da1134530e0f3e7e,2025-10-16
First Class_54.66_6,8a366a2d22a5717de471ae9ae71e72e50a83d0f482e32ff4eb2957ebd31b206c,2025-10-16
Second Class_22.92_4,8cae869d2d8f6ed1338c2efcc26c45ce22af602e40fbab37172197ef9743724c,2025-10-16
Standard Class_109.592_1,27d403e720672ef8a1c92594de842e8d659a6201b667cce45d1203ea478f8930,2025-10-16
Standard Class_72.64_2,74f4fda3f5ff398d8be4b3e996505051886253253d01e8a486b4d57c3af51d2b,2025-10-16
Standard Class_3.52_2,1d59adcefebd64b691b5bbe1d3de6e70c82c06879487f021eb0271f93af0c7a7,2025-10-16
Standard Class_16.272_1,1a8f4a55279d68b0e9808f84dacd1c8ca2b5bc3f00f29f4f7b6b428d5fb4037a,2025-10-16
Standard Class_8.0_5,7abf71f532510426146fc411f57ee08dc20ca3cb1837401f5fa83fb598ccf826,2025-10-16
First Class_47.952_3,508031cb8aca71f1ce09f39548565133c94f4351903158d95616f2f303d4e03f,2025-10-16
First Class_36.96_7,3552a3270cc1be1615d71c6625222e1cce54376e6fb9d7a52d7206655ab88ff4,2025-10-16
Second Class_15.51_1,dad361a252908ac83efe6ccb85900b0be0b0a6331706ab660af83cb29a45eb46,2025-10-16
First Class_339.96_4,d4e0087041b0869ea8d8c7731b045804ac92e4e83c3a860345c57715b372abee,2025-10-16
Standard Class_276.69_3,f1428e1aa7e327b3aedd8737537be703dca060c419b53e7647215833d63355f1,2025-10-16
Standard Class_74.52_9,6ca37458b5d75895a1a608be72f58dd93bb465918d709d8934539be59d876a5b,2025-10-16
Second Class_185.376_2,50004283cdc4135559a5dfba6507f0e6cba8dac8801448986dc23994220e77be,2025-10-16
First Class_25.584_2,2a8e6e139aa5f0dabe43140602b66d9103a2a414c535f011b0028642e44db2a6,2025-10-16
First Class_120.784_1,1ef9e7510f942cc9b6e56e2185399ba04e7cd5fbf6d83ba55bb93535317ad3e1,2025-10-16
Second Class_33.18_2,193890da08d208f758f8136eab565505ef1f4e1b511977a3d4ad81f6f9a9f7cf,2025-10-16
Standard Class_31.4_5,f4ddb91a86705ff60705f326f4aa0f185250f2a53870e28ba1e0873c1739da3e,2025-10-16
Second Class_83.92_5,9ca2efc0430f7c07967460cabcdbc3021ac9aa03925d115ed134d3f30eed02f1,2025-10-16
Second Class_6.048_4,a4fcda9f24260e730534b60317760f79a06044a8dcb70592dd8f1c6d78e70c78,2025-10-16
Standard Class_84.416_4,41bf48edd167be8a1b223f80629990080481bbea77d74062e59bce2060e5897e,2025-10-16
Standard Class_998.82_9,64aa5ad179ff0adcf9dc9a8c39c023ac7da3426048348c37576a14cfe89d42ab,2025-10-16
Standard Class_2999.95_5,5971e531852fae32b85c9276b55f1384573f8a356e6839776aa6ed707b570be4,2025-10-16
Second Class_979.95_5,a29e8d08504aba519b8eac4cfe157729bfeb8ffa110c50c9e0d7c6e2b55aca18,2025-10-16
Standard Class_9.96_2,a95b9cc06c6ba0486328641358476bd22add7e4e8a67482f2d549afa4218dd76,2025-10-16
Second Class_180.66_3,3b027337c294625afae6961e25b34bcf235c26c956704bc7851b685dde8c846e,2025-10-16
Standard Class_37.66_7,61564fd8e0c138899080b3c0702b705492b699ce8facd1da987da77f4ee01c29,2025-10-16
Standard Class_853.092_6,945b431e13dbf2900eb1655dae2c4b6ac12a40930c4ca03b4b544778c397c898,2025-10-16
Second Class_15.4_5,b2aa303a561419ad90c1b9238413ff7b426c8b46ef49b56c3d5932a0ea62cba2,2025-10-16
Second Class_286.29_3,b0d328ac028cd8f697231bde41d12246c86cc5f00305bd227cd4fbd9f2f29bed,2025-10-16
Standard Class_9.02_2,11405a5a8ec4f9b9997822f92e46a57514dd427257382ffb9a490afee1035fb1,2025-10-16
Second Class_17.48_5,defea495514ab80d7e1ba6cf3f4a2af44fa19e12dfa6bff73026f36133c9f342,2025-10-16
Standard Class_571.44_4,17614db938ac06a054c13538687b3a7ac91089e2ad31291c5ff72f50b61d3a12,2025-10-16
Standard Class_4.17_3,1ac9e05e8cdfd9f3f947233e9b9f60a248245ad1129f30162346a3597efac6aa,2025-10-16
First Class_29.2_5,ed5dc3a18a1c1aea01758870736901fafe114e0b67af751a1556d335e67b8999,2025-10-16
Same Day_45.36_7,64d7d31885485dda3fae6578238846d8e7c29614af91c1e45b46b1a1f78e202e,2025-10-16
Second Class_45.68_2,56b87d0899380ce9d1ceacb24916296933b72c89df1fd3f56268a114b636c2b4,2025-10-16
Second Class_9.42_3,d5f286e2ab10128ecc2158a8ece25ef1982a228dde227be64e500af374ee2ffa,2025-10-16
First Class_199.96_4,92e275cd69e2dce7ae947e628cb9fbebe0f3811a61f741350b967bed275d678c,2025-10-16
Second Class_127.96_2,9ba4006932797d5d1af75d42746cacd7fa2e513ce34f5a993fdf11eb1561ac55,2025-10-16
Standard Class_24.88_2,4c7a78e8a91be78e52af11b0b6114df99ca60e1d5a054bf996997934b2500e8b,2025-10-16
Standard Class_64.4_5,32d60aa35b10d93f7af22ebc9c1c837db3c0a93c6663279c535ba83919e4c453,2025-10-16
Standard Class_635.96_4,5671659b8c9dc2b65d4b4f5b6623c3b282e9b10dc3b72f04b60e6b8cfacf1ee5,2025-10-16
Standard Class_10.048_4,b8fcf48dbf34509e975171ce139939c169c792711c4a53716875a1ec484293a6,2025-10-16
Standard Class_310.392_4,fa6012287e43d266e132dac72124a3ce8e21134586737b7f89b8b8a56b7a010a,2025-10-16
Standard Class_518.272_8,32b305b87bd91206c14fa4a93d6bf602d2db4002234b25cbb75ea4c14e8d7f5d,2025-10-16
Standard Class_90.06_6,44354ac87484c5c85a013a00d42cef2fcf7084da0094bf86eada18cc9b75656d,2025-10-16
Standard Class_274.491_3,aaedec1e3ec49975bc8d25cda2fc30607407e06de4fc8964f1bb2807b50088f5,2025-10-16
First Class_89.712_6,2ad9ab93b7aeb9ccb9d3d185dd64ffdaa4d699666f7b450d5fb05173d97ff3a3,2025-10-16
Standard Class_97.568_2,e309fe5c3797bde990222e1b32be1b086a7fc917b927a71fe142942101558aa7,2025-10-16
Standard Class_15.0_3,2337eb94fba80f61b695c5dd14786bfaf53ddf2f5c43f717d4e5cf532629e7d7,2025-10-16
Standard Class_87.8_5,f9e7b71925fcfd28d96e87e6cffcd203f1521fa2f02c71bfb67261ae86d21a66,2025-10-16
Second Class_10.496_4,e3c6d5e7ca0da82f3c8457a107448f0d7df56a6490d93d269910e9eed372f28a,2025-10-16
Standard Class_1079.976_4,ec2e7c8b332beaec866dae7d68e57bcb9197101c99a800018bd1791ec6622b6f,2025-10-16
Same Day_5.7_5,d06e19b5c27c3d9cb5489806e9e69c9801f7cda6b36c211f988e3c394d763dcd,2025-10-16
Standard Class_210.58_2,85f7dd111627e75b746485ca80d1edd7c1c69a261c549b5bc35a9912509c5acb,2025-10-16
First Class_22.96_2,a9db724a1a48b33084fe077f45b8cec5f131772f4431b9936ad8ffc020727c4d,2025-10-16
Standard Class_23.67_3,b2c84e7d483a3ae42b86c1628e7ab204f05230349ccb96123adce55952598d79,2025-10-16
Standard Class_45.48_4,2b91fd378482aa797b0151706cd9088e1edd994f445db34e05c15bf3a6b68703,2025-10-16
Second Class_91.475_1,f0fdcde749ec43c32925e5e2c34601ad5dc0a0b8f8012512ed3919e0cbc241ce,2025-10-16
First Class_6.54_3,843e2f57a18bf14aedd4abbfc4d0dbe15d7a3e42137b1a6d66ae3c65c97dd387,2025-10-16
First Class_195.64_5,59e8c3c48afdd5ea4eedc8e77c06065c9efa64697b060e81276ca5d3c43dca71,2025-10-16
Standard Class_40.2_5,2dd62434b51bfc9e806df46b3d9d6818ce8c168533124ab5794a0121bb3c0f94,2025-10-16
First Class_5.584_2,51fee46b73c72e9bc2db45f9f80ff7158247359624d6082aaa09070512083909,2025-10-16
First Class_22.704_6,d2b7eb6e5bd6138be0c3820c4d49a420afc1484b1cc9d491642ab2a0ab0a3105,2025-10-16
Standard Class_1199.8_4,e3f38ba1c67ad20e82b4907af89208fdb14978a3238add56882124f767939e05,2025-10-16
Standard Class_19.936_4,e2a8bd7b508b05e95d7b0fd3b60b1c6c01da189cc8e1a3463903b97ef5377b17,2025-10-16
Standard Class_25.11_3,037265585ea9494da1bcecb572aae61aa2d42a418ff04c1af0ce98df4db35635,2025-10-16
Standard Class_419.4_5,f47ff2fbb0b93f72bddb1e6928c9075270ff4be2fd2a92132f1c00aa2b2f10cd,2025-10-16
Second Class_73.2_5,18b353ec1f27db7ed041636e98d3ac21b20779321176b2680d95284e96282eac,2025-10-16
Same Day_58.112_2,759d525024473cce4cd5c2ffc867cd57c5920646d34cbb409aa7f60367b4295a,2025-10-16
Standard Class_1454.49_9,c918f10da2d6223122e23254fb2b0b48a8068c65a90e1330038443a058c89693,2025-10-16
Standard Class_14.98_1,73a3712faaba93a1c5303237291bf93ece46804bdf80c21ef95542594386d871,2025-10-16
Standard Class_366.786_7,929da047166e815442f410358ded5e021e9b18eb5636a307b2c8b394b9b5d356,2025-10-16
Standard Class_64.864_4,d3e799b9ee8033307e7bee2e0787fc77de8c67d01ed082314fae597fdcfa05d0,2025-10-16
Standard Class_196.776_3,4f672cc8c7b79da78fccf695b7c14323a4278e00c158670757bdbddc75f0d952,2025-10-16
Standard Class_5.5_1,adcab164aae99a43b607857391ce4ae8d3b6509e6dc27d4b0a3b99ec04eae787,2025-10-16
Standard Class_107.53_1,f49e3f20bca275adcdedb260ded2cf0a5b98cea4641237e445469554709514f3,2025-10-16
Standard Class_56.3_2,482344d989c3790658646ccd178900289e17d155d4fa511c3551f0a2e8880bfa,2025-10-16
First Class_48.672_3,e71de0d4c6c4bd2e08bc66daf76b4e674de3212dd8ae767d26b81ef7a4cb79c9,2025-10-16
Second Class_45.528_3,43bb85a4057dd2c7812e1984e246b5aad0fa4c4baf61ab932f961a60fdb42fea,2025-10-16
Standard Class_4.368_3,9a0a0f718d04c9af710b884767f45dba18414bb153c34819e1bb58269863cb61,2025-10-16
First Class_20.016_9,e1cacc8cc30a2b17a053314ea7abbcfde677901ae29b83a08fb5f72c2244b919,2025-10-16
Standard Class_22.368_4,32cc546d4c33d331de48170662dd4338707bcf71397b848bf5e2d2c648adcf92,2025-10-16
Standard Class_11.56_4,55890181afa8986a4f45c9700a2bf2c7d1cf110ac235581d8abc2a98d9a07590,2025-10-16
Standard Class_15.54_3,b5b6ca4ab7b07121e17e9ad9be9662950168deec4532f44ca40624a1abfe4f36,2025-10-16
First Class_37.94_2,a6b4c6adff5428666d21727b1851290134d51646702ab6abe10e485eb4e26df7,2025-10-16
Same Day_959.984_2,cb4b36439f99c43f28f741bc65b6dafe43b9abaaf82f1f938613eec41632ddbf,2025-10-16
